"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_001MA","B02001_001EA","B02001_002E","B02001_002M","B02001_002MA","B02001_002EA","B02001_003E","B02001_003M","B02001_003MA","B02001_003EA","B02001_004E","B02001_004M","B02001_004MA","B02001_004EA","B02001_005E","B02001_005M","B02001_005MA","B02001_005EA","B02001_006E","B02001_006M","B02001_006MA","B02001_006EA","B02001_007E","B02001_007EA","B02001_007M","B02001_007MA","B02001_008E","B02001_008M","B02001_008MA","B02001_008EA","B02001_009E","B02001_009M","B02001_009MA","B02001_009EA","B02001_010E","B02001_010M","B02001_010MA","B02001_010EA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Annotation of Margin of Error!!Total:!!White alone","Annotation of Estimate!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Annotation of Margin of Error!!Total:!!Black or African American alone","Annotation of Estimate!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Estimate!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Annotation of Margin of Error!!Total:!!Asian alone","Annotation of Estimate!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Annotation of Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Annotation of Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Annotation of Margin of Error!!Total:!!Two or more races:","Annotation of Estimate!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Estimate!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1500000US530330013001","Block Group 1, Census Tract 13, King County, Washington","1818","406","null","null","1182","345","null","null","112","173","null","null","0","13","null","null","356","141","null","null","0","13","null","null","20","null","31","null","148","118","null","null","1","2","null","null","147","118","null","null",
"1500000US530330013002","Block Group 2, Census Tract 13, King County, Washington","1647","493","null","null","780","328","null","null","62","61","null","null","97","118","null","null","327","175","null","null","0","13","null","null","315","null","291","null","66","69","null","null","0","13","null","null","66","69","null","null",
"1500000US530330013003","Block Group 3, Census Tract 13, King County, Washington","1533","290","null","null","1071","240","null","null","80","68","null","null","0","13","null","null","134","101","null","null","0","13","null","null","105","null","170","null","143","103","null","null","50","78","null","null","93","68","null","null",
"1500000US530330014001","Block Group 1, Census Tract 14, King County, Washington","1190","367","null","null","679","194","null","null","15","25","null","null","0","13","null","null","198","188","null","null","0","13","null","null","16","null","26","null","282","331","null","null","0","13","null","null","282","331","null","null",
"1500000US530330014002","Block Group 2, Census Tract 14, King County, Washington","1049","303","null","null","852","247","null","null","0","13","null","null","0","13","null","null","111","87","null","null","0","13","null","null","26","null","40","null","60","67","null","null","0","13","null","null","60","67","null","null",
"1500000US530330014003","Block Group 3, Census Tract 14, King County, Washington","1731","567","null","null","1100","406","null","null","39","46","null","null","53","82","null","null","189","208","null","null","41","70","null","null","24","null","40","null","285","212","null","null","100","156","null","null","185","148","null","null",
"1500000US530330014004","Block Group 4, Census Tract 14, King County, Washington","1547","435","null","null","1426","430","null","null","0","13","null","null","0","13","null","null","36","44","null","null","0","13","null","null","33","null","46","null","52","59","null","null","0","13","null","null","52","59","null","null",
"1500000US530330015001","Block Group 1, Census Tract 15, King County, Washington","1646","308","null","null","1353","245","null","null","58","83","null","null","0","13","null","null","118","70","null","null","0","13","null","null","0","null","13","null","117","100","null","null","27","39","null","null","90","90","null","null",
"1500000US530330015002","Block Group 2, Census Tract 15, King County, Washington","1227","220","null","null","966","211","null","null","7","12","null","null","0","13","null","null","107","59","null","null","0","13","null","null","0","null","13","null","147","90","null","null","0","13","null","null","147","90","null","null",
"1500000US530330016001","Block Group 1, Census Tract 16, King County, Washington","1624","323","null","null","1332","309","null","null","0","13","null","null","0","13","null","null","144","105","null","null","0","13","null","null","0","null","13","null","148","99","null","null","9","13","null","null","139","102","null","null",
"1500000US530330016002","Block Group 2, Census Tract 16, King County, Washington","1547","426","null","null","925","217","null","null","2","5","null","null","0","13","null","null","411","227","null","null","0","13","null","null","21","null","31","null","188","150","null","null","21","25","null","null","167","148","null","null",
